Year,Month,Day,Lat,Lon,Depth,Mag
2021,4,14,-21.1865,-68.7143,137.5,4.3
2021,4,14,-21.3542,-66.8061,238.4,4
2021,4,12,-22.6486,-66.49,219.7,4.5
2021,4,11,-15.9308,-72.4695,114.3,4.3
2021,4,11,-21.1907,-67.9707,176.4,4.5
2021,4,10,-17.1225,-71.3209,96.7,4
2021,4,7,-23.3498,-66.8972,211.4,3.8
2021,4,7,-16.2338,-70.5235,162.6,4.4
2021,4,7,-23.3354,-66.5983,195.8,4.2
2021,4,6,-21.0922,-68.9679,120.1,3.9
2021,4,2,-20.9355,-69.2939,84.4,4.2
2021,4,1,-13.9278,-72.7032,60.1,4.2
2021,4,1,-19.6887,-68.9278,130.9,4.5
2021,3,31,-16.3389,-72.3496,81.1,4.9
2021,3,31,-20.562,-67.1689,203.5,4.6
2021,3,28,-20.2736,-70.2774,33.2,4
2021,3,28,-15.3296,-71.944,123.7,4.6
2021,3,28,-17.3194,-70.0611,139.7,4.3
2021,3,27,-19.8695,-69.9138,66.2,4.5
2021,3,26,-15.7487,-71.5275,150,4.4
2021,3,25,-22.5234,-66.1209,238.4,4.3
2021,3,24,-20.0721,-70.3076,35,3.1
2021,3,22,-21.293,-67.2599,189.8,4.4
2021,3,22,-22.9458,-66.513,245.6,4.5
2021,3,22,-20.4747,-69.6887,31.1,3.6
2021,3,21,-19.4904,-63.9926,599.1,5.3
2021,3,21,-22.7123,-67.0638,200.3,4.6
2021,3,21,-21.2056,-67.2208,186,4.7
2021,3,21,-20.1695,-70.5728,38.2,4.1
2021,3,20,-15.0968,-72.3167,148.8,4.2
2021,3,20,-22.9604,-70.0065,52.7,4.6
2021,3,17,-12.4289,-74.9591,83.7,4.2
2021,3,16,-15.8182,-74.5489,35,4
2021,3,15,-14.8644,-74.4077,63,4.2
2021,3,15,-19.7016,-69.3065,104.3,4.3
2021,3,14,-17.6477,-69.8063,10,4.3
2021,3,14,-15.4955,-70.2397,198.3,4.5
2021,3,13,-22.9305,-69.7067,71.5,4.4
2021,3,11,-23.0222,-66.7668,228,4.5
2021,3,10,-14.1876,-71.4629,10,4.2
2021,3,10,-19.6572,-66.6783,265.1,4.1
2021,3,9,-22.8086,-69.2789,88.8,3.9
2021,3,8,-20.7603,-69.8625,66.4,3.8
2021,3,8,-19.0531,-69.3772,121.4,4.1
2021,3,7,-16.6599,-71.3083,135.6,4
2021,3,7,-17.543,-69.8065,10,4.5
2021,3,6,-15.947,-72.5316,10,4.7
2021,3,6,-18.688,-69.3554,144,4.3
2021,3,5,-23.1091,-67.0352,230.1,4.2
2021,3,1,-17.737,-72.6114,10,4.5
2021,2,28,-22.1267,-63.7553,529,4.5
2021,2,28,-22.3731,-68.515,122.3,4.6
2021,2,28,-17.581,-72.5179,14,5.5
2021,2,27,-23.0833,-67.9032,134.4,4.3
2021,2,26,-20.3426,-69.1156,107,4.4
2021,2,24,-22.4452,-67.716,172.5,4.4
2021,2,24,-22.0646,-65.9271,272.4,4.3
2021,2,23,-20.0742,-69.0943,110.5,4.4
2021,2,21,-21.1198,-68.6871,144.6,4.5
2021,2,20,-21.1556,-68.7839,131.2,4.3
2021,2,20,-21.0813,-70.6408,42.4,3.5
2021,2,19,-17.9371,-69.6781,142,4.1
2021,2,19,-22.0071,-68.5725,135.1,4.3
2021,2,16,-21.1775,-67.2931,198.4,4.5
2021,2,16,-20.8047,-68.4384,171.5,4.1
2021,2,15,-20.1086,-70.225,39.9,3.6
2021,2,15,-23.0028,-66.2517,242.7,4.3
2021,2,15,-17.5833,-69.823,10,4.4
2021,2,15,-19.7571,-69.4387,96.2,4.4
2021,2,14,-21.3926,-69.8532,42.1,4
2021,2,14,-21.9848,-66.0437,262.7,4.3
2021,2,13,-20.4959,-70.669,13.7,5.2
2021,2,10,-19.3912,-71.1981,10,4.4
2021,2,10,-15.5175,-71.7284,143.1,4.2
2021,2,9,-18.6296,-69.9897,96.2,4.8
2021,2,9,-23.1507,-66.3535,224.2,4.4
2021,2,8,-16.4072,-71.9155,100.1,5
2021,2,7,-21.0254,-69.1671,107.4,4.2
2021,2,6,-20.1058,-70.1887,50.9,3.7
2021,2,6,-20.7837,-65.532,344.7,4.2
2021,2,6,-19.9694,-71.1212,42.4,4.4
2021,2,4,-16.6564,-69.776,194.4,4.2
2021,2,4,-21.1342,-67.959,167.3,4.4
2021,2,3,-15.1717,-72.1367,126.1,4.1
2021,2,2,-15.1406,-72.054,182.8,4.4
2021,2,1,-17.3434,-70.8175,119.8,4.2
2021,2,1,-19.6469,-66.9865,269.5,4.2
2021,1,31,-21.1257,-68.6639,126.7,4.1
2021,1,30,-19.9628,-70.3413,58.4,5.2
2021,1,30,-18.2553,-69.7524,116.8,4.5
2021,1,28,-18.6236,-67.0716,258,4.3
2021,1,26,-19.9355,-69.7866,64.8,4
